id_transaccion,id_usuario,monto_str,fecha_operacion,categoria_raw,tipo_movimiento
TXN000251,USR0030,$919.49,2025/03/27,Renta$$,Cargo
TXN000252,USR0025,"$7,727.45",2025-01-06,ENTRETENIMIENTO!!,EGRESO
TXN000253,USR0023,12482.39,2025/12/20,Áhorro,INGRESO
TXN000254,USR0014,972.75 MXN,06-28-2025,renta_mensual,DB
TXN000255,USR0016,"MXN 3,533.42",2025-06-13,renta_mensual,DB
TXN000256,USR0011,"5,433.26 MXN",22/09/2025,RENTA,Cargo
TXN000257,USR0026,"MXN 8,727.74",2025-07-22,,CR
TXN000258,USR0007,"$2,262.84",2025-10-23,RESTAURANTES!,DB
TXN000259,USR0022,$4245.33,02-Nov-2025,servicios_basicos,DB
TXN000260,USR0015,18471.78,2025-10-30,ahorro_programado,abono
TXN000261,USR0006,"MXN 5,562.82",2025/08/03,Entreténimiento,debito
TXN000262,USR0018,$4461.55,13/03/2025,transporte99,EGRESO
TXN000263,USR0001,1135.45,16-Sep-2025,SERVICIOS##,EGRESO
TXN000264,USR0016,707.23 MXN,2025-05-30,transporte99,CARGO
TXN000265,USR0019,4420.32,02-28-2025,servicios_basicos,CARGO
TXN000266,USR0002,"$4,393.51",12/01/2026,SERVICIOS##,EGRESO
TXN000267,USR0028,"3,540.61 MXN",2025/04/18,renta_mensual,CARGO
TXN000268,USR0020,"$6,289.55",10-19-2025,transporte99,Cargo
TXN000269,USR0010,"$4,603.25",11-Mar-2025,Sálud,debito
TXN000270,USR0028,$2034.93,07-May-2025,Tr@nsporte,DB
TXN000271,USR0013,MXN 650.35,09-21-2025,servicios_basicos,CARGO
TXN000272,USR0011,"$20,482.71",10-Jan-2026,ahorro_programado,CR
TXN000273,USR0018,"MXN 13,592.86",05-18-2025,nomina_quincenal,Abono
TXN000274,USR0016,"$7,158.53",20-Feb-2025,Entreténimiento,CARGO
TXN000275,USR0001,$18771.84,03-23-2025,Nómina,Abono
TXN000276,USR0029,$461.71,07/01/2026,,DB
TXN000277,USR0016,,15-Dec-2025,Renta$$,Cargo
TXN000278,USR0028,"MXN 14,554.00",2025-02-15,Nómina,Abono
TXN000279,USR0025,"5,150.53 MXN",2025/02/05,Tránsporte,DB
TXN000280,USR0007,"MXN 7,363.16",2025-04-22,Tránsporte,debito
TXN000281,USR0012,"$7,796.60",2025/05/08,nomina_quincenal,abono
TXN000282,USR0022,1683.29,07-Apr-2025,salud_medica,debito
TXN000283,USR0008,"MXN 3,117.79",2025/11/23,Sérvicios,Cargo
TXN000284,USR0030,"MXN 1,099.26",2025/07/07,entretenimiento$$,debito
TXN000285,USR0003,$4719.54,2025-04-21,Supermercádo!!,CARGO
TXN000286,USR0023,"MXN 6,148.52",2025/02/12,educacion$,EGRESO
TXN000287,USR0017,7795.79,17-Jun-2025,Restaurántes,Cargo
TXN000288,USR0008,"$1,993.61",2025/08/21,Supermercádo!!,EGRESO
TXN000289,USR0004,"$5,677.81",25-Mar-2025,super-mercado,DB
TXN000290,USR0006,"$1,059.10",2026-01-30,ENTRETENIMIENTO!!,cargo
TXN000291,USR0023,$14922.95,29-Jan-2025,ahorro_programado,credito
TXN000292,USR0029,7306.67,2025-01-02,Áhorro,CR
TXN000293,USR0005,7452.72,01-Jan-2026,TRANSPORTE#,CARGO
TXN000294,USR0009,4593.71,2025-12-11,RENTA,CARGO
TXN000295,USR0013,,2025-06-17,Réntá,cargo
TXN000296,USR0010,"12,365.47 MXN",2026/01/11,Áhorro,INGRESO
TXN000297,USR0018,"$5,105.74",2025-06-21,entretenimiento$$,DB
TXN000298,USR0007,"MXN 7,865.77",31/01/2025,educacion$,EGRESO
TXN000299,USR0028,"MXN 3,333.80",2026-01-18,educacion$,cargo
TXN000300,USR0003,"13,699.66 MXN",05-30-2025,AHORRO**,Abono
TXN000301,USR0011,"$3,649.42",14/04/2025,entretenimiento$$,Cargo
TXN000302,USR0011,"MXN 12,165.75",07-Jun-2025,nomina_quincenal,Abono
TXN000303,USR0010,"21,718.50 MXN",16/02/2025,AHORRO**,abono
TXN000304,USR0027,MXN 297.10,2025/10/12,TRANSPORTE#,EGRESO
TXN000305,USR0004,540.27 MXN,12-Apr-2025,super-mercado,Cargo
TXN000306,USR0019,"$7,343.56",03/02/2025,Sálud#,CARGO
TXN000307,USR0026,"$1,024.09",2025/03/28,ENTRETENIMIENTO!!,EGRESO
TXN000308,USR0022,$9294.32,24-May-2025,NOMINA**,Abono
TXN000309,USR0010,"MXN 3,325.34",2025-02-01,SERVICIOS##,debito
TXN000310,USR0026,"$2,030.72",07-15-2025,EDUCACION,debito
TXN000311,USR0017,,2025/06/13,Entreténimiento,Cargo
TXN000312,USR0026,"4,258.99 MXN",2025-03-23,Sérvicios,debito
TXN000313,USR0030,6124.20,07-18-2025,SUPERMERCADO,Cargo
TXN000314,USR0023,$7316.14,2025/10/18,Entreténimiento,CARGO
TXN000315,USR0029,"MXN 4,359.89",2025-01-20,Sérvicios,Cargo
TXN000316,USR0001,"7,347.27 MXN",24/06/2025,ENTRETENIMIENTO!!,Cargo
TXN000317,USR0005,"$6,779.52",11-Jul-2025,Renta$$,cargo
TXN000318,USR0024,$7687.26,2025/03/31,nomina_quincenal,DB
TXN000319,USR0010,"$1,062.42",2025/12/26,Sálud#,DB
TXN000320,USR0006,"21,176.14 MXN",2025/11/24,Áhorro,credito
TXN000321,USR0008,,12-29-2025,ENTRETENIMIENTO!!,Cargo
TXN000322,USR0012,"$6,306.81",25-Jan-2025,Sálud#,DB
TXN000323,USR0016,12506.95,30/11/2025,NOMINA**,INGRESO
TXN000324,USR0001,"$2,125.97",25/06/2025,ENTRETENIMIENTO!!,CARGO
TXN000325,USR0003,"MXN 4,772.54",2025-12-27,ENTRETENIMIENTO!!,debito
TXN000326,USR0006,855.00 MXN,2025/07/29,super-mercado,Cargo
TXN000327,USR0013,$14818.97,02-Jan-2025,Áhorro,ABONO
TXN000328,USR0007,$254.60,11-Feb-2025,Renta$$,Cargo
TXN000329,USR0022,MXN 774.54,04-05-2025,Sálud#,debito
TXN000330,USR0015,1848.63,01/02/2025,Sálud,cargo
TXN000331,USR0025,6219.67,2025/08/03,ahorro_programado,INGRESO
TXN000332,USR0016,$677.69,2025/09/15,SALUD**,DB
TXN000333,USR0006,"$6,477.26",2025-08-05,Réstaurantes,Cargo
TXN000334,USR0020,"$2,592.01",14-Feb-2025,Sálud#,DB
TXN000335,USR0030,6303.08,25-Sep-2025,Supermercádo!!,debito
TXN000336,USR0025,"$7,403.18",2025/05/27,renta_mensual,debito
TXN000337,USR0019,"8,443.99 MXN",2025/11/13,ahorro_programado,INGRESO
TXN000338,USR0011,$441.86,2025-07-10,restaurante$,EGRESO
TXN000339,USR0016,"7,781.35 MXN",03-Jun-2025,renta_mensual,Cargo
TXN000340,USR0007,"MXN 1,730.55",2026/01/24,SERVICIOS##,EGRESO
TXN000341,USR0010,3256.91,15/01/2025,Educación!!,debito
TXN000342,USR0002,451.95 MXN,05-21-2025,SERVICIOS##,cargo
TXN000343,USR0001,"MXN 3,011.11",01-Apr-2025,restaurante$,debito
TXN000344,USR0027,"$2,316.30",2025/03/25,RENTA,EGRESO
TXN000345,USR0009,"$22,292.60",,NOMINA**,CR
TXN000346,USR0026,$5716.29,05-Aug-2025,salud_medica,DB
TXN000347,USR0017,$7046.24,2025/10/15,ahorro_programado,credito
TXN000348,USR0011,$5142.73,12-02-2025,SALUD**,cargo
TXN000349,USR0026,"$11,391.71",02-Dec-2025,AHORRO**,Abono
TXN000350,USR0002,$4597.74,07/01/2026,ahorro_programado,Cargo
TXN000351,USR0022,4083.15,04-03-2025,Entreténimiento,Cargo
TXN000352,USR0018,"$7,578.04",04-24-2025,TRANSPORTE#,cargo
TXN000353,USR0011,"MXN 2,121.45",02-Mar-2025,Entreténimiento,cargo
TXN000354,USR0003,"$7,120.94",15-Dec-2025,servicios_basicos,debito
TXN000355,USR0005,"MXN 2,774.23",03-15-2025,RESTAURANTES!,debito
TXN000356,USR0006,"MXN 5,094.27",21/05/2025,Entreténimiento,CARGO
TXN000357,USR0025,"MXN 1,078.78",26-Jul-2025,Réntá,EGRESO
TXN000358,USR0012,"7,141.45 MXN",2025-01-10,SUPERMERCADO,debito
TXN000359,USR0004,"$11,122.30",06-02-2025,Nóminá,ABONO
TXN000360,USR0029,$2774.73,20/01/2026,TRANSPORTE#,EGRESO
TXN000361,USR0008,"5,830.99 MXN",2026-01-11,RESTAURANTES!,Cargo
TXN000362,USR0013,"$6,181.43",,Sálud,debito
TXN000363,USR0014,$3073.02,31/08/2025,Sérvicios,debito
TXN000364,USR0022,5316.74,07/11/2025,Réntá,cargo
TXN000365,USR0004,MXN 956.40,2025/04/12,SALUD**,CARGO
TXN000366,USR0012,"5,788.11 MXN",,nomina_quincenal,INGRESO
TXN000367,USR0004,7982.89,2025-02-08,AHORRO**,ABONO
TXN000368,USR0009,$448.14,05-29-2025,servicios_basicos,Cargo
TXN000369,USR0025,126.90 MXN,06-18-2025,Súpermercado,Cargo
